"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"54604","QB","Jimmy","Garoppolo","2","6","6800","NE@BUF","NE","BUF","","","",""
"8005","QB","Alex","Smith","23.2","1","6800","DEN@KC","KC","DEN","","","",""
"34331","RB","Latavius","Murray","11.5","1","6800","BAL@OAK","OAK","BAL","","","",""
"6681","WR","Andre","Johnson","4.4","1","6800","NYJ@IND","IND","NYJ","","","",""
"6733","RB","Jonathan","Stewart","10.1","1","6800","HOU@CAR","CAR","HOU","","","",""
"7659","QB","Ryan","Fitzpatrick","14.1","1","6700","NYJ@IND","NYJ","IND","","","",""
"21970","RB","Doug","Martin","5.9","1","6700","TB@NO","TB","NO","","","",""
"27553","RB","Joseph","Randle","12.2","1","6700","DAL@PHI","DAL","PHI","","","",""
"11485","WR","Golden","Tate","4.4","1","6700","DET@MIN","DET","MIN","","","",""
"31001","WR","Amari","Cooper","7.2","1","6700","BAL@OAK","OAK","BAL","","","",""
"6735","WR","Steve","Smith","2.3","1","6700","BAL@OAK","BAL","OAK","","","",""
"33076","TE","Travis","Kelce","25.6","1","6600","DEN@KC","KC","DEN","P","Hip","",""
"24641","WR","Sammy","Watkins","0","1","6600","NE@BUF","BUF","NE","","","",""
"62497","RB","David","Johnson","12","1","6600","ARI@CHI","ARI","CHI","","","",""
"24849","QB","Jameis","Winston","16.2","1","6600","TB@NO","TB","NO","","","",""
"14267","QB","Ryan","Mallett","8.5","1","6500","HOU@CAR","HOU","CAR","","","",""
"32415","QB","Johnny","Manziel","9.8","1","6500","TEN@CLE","CLE","TEN","","","",""
"31061","RB","T.J.","Yeldon","8.2","1","6500","MIA@JAC","JAC","MIA","","","",""
"27776","RB","Tevin","Coleman","8","1","6500","ATL@NYG","ATL","NYG","","","",""
"29991","RB","Bishop","Sankey","21.6","1","6500","TEN@CLE","TEN","CLE","","","",""
"28900","RB","Melvin","Gordon","6.2","1","6500","SD@CIN","SD","CIN","","","",""
"22027","QB","Nick","Foles","19","1","6500","STL@WAS","STL","WAS","","","",""
"27229","RB","Ameer","Abdullah","17.4","1","6400","DET@MIN","DET","MIN","","","",""
"11779","RB","LeGarrette","Blount","5.8","16","6400","NE@BUF","NE","BUF","","","",""
"6479","WR","Anquan","Boldin","5.6","1","6400","SF@PIT","SF","PIT","","","",""
"45889","WR","Davante","Adams","7.9","1","6400","SEA@GB","GB","SEA","","","",""
"8052","RB","Rashad","Jennings","11.2","1","6400","ATL@NYG","NYG","ATL","","","",""
"6687","QB","Mark","Sanchez","16.7","9","6400","DAL@PHI","PHI","DAL","","","",""
"7806","RB","Darren","McFadden","4","1","6400","DAL@PHI","DAL","PHI","","","",""
"7778","QB","Matt","Cassel","0","1","6400","NE@BUF","BUF","NE","","","",""
"30447","RB","Todd","Gurley","0","0","6300","STL@WAS","STL","WAS","O","Knee","",""
"7872","QB","Brian","Hoyer","10.4","1","6300","HOU@CAR","HOU","CAR","","","",""
"31836","WR","Terrance","Williams","8.5","1","6300","DAL@PHI","DAL","PHI","","","",""
"24920","RB","Devonta","Freeman","6.2","1","6300","ATL@NYG","ATL","NYG","","","",""
"14377","QB","Tyrod","Taylor","15.9","1","6300","NE@BUF","BUF","NE","","","",""
"6607","WR","Mike","Wallace","9.3","1","6200","DET@MIN","MIN","DET","","","",""
"14245","RB","Shane","Vereen","8","1","6200","ATL@NYG","NYG","ATL","","","",""
"54606","WR","John","Brown","12.6","1","6200","ARI@CHI","ARI","CHI","","","",""
"9421","RB","Danny","Woodhead","20.2","1","6200","SD@CIN","SD","CIN","","","",""
"24949","QB","E.J.","Manuel","12.3","5","6200","NE@BUF","BUF","NE","","","",""
"21957","WR","Kendall","Wright","18.1","1","6100","TEN@CLE","TEN","CLE","","","",""
"11999","WR","Victor","Cruz","8.5","6","6100","ATL@NYG","NYG","ATL","Q","Calf","",""
"6448","TE","Martellus","Bennett","14","1","6100","ARI@CHI","CHI","ARI","","","",""
"45859","QB","Derek","Carr","3.2","1","6100","BAL@OAK","OAK","BAL","Q","Hand","",""
"11419","RB","C.J.","Spiller","6.9","9","6100","TB@NO","NO","TB","Q","Knee","",""
"11712","RB","Joique","Bell","5.1","1","6100","DET@MIN","DET","MIN","","","",""
"34308","QB","Blake","Bortles","11.9","1","6100","MIA@JAC","JAC","MIA","","","",""
"7660","RB","Fred","Jackson","3.4","1","6000","SEA@GB","SEA","GB","","","",""
"31561","WR","Donte","Moncrief","13.6","1","6000","NYJ@IND","IND","NYJ","","","",""
"6641","TE","Jason","Witten","22","1","6000","DAL@PHI","DAL","PHI","","","",""
"8118","QB","Michael","Vick","4.5","10","6000","SF@PIT","PIT","SF","","","",""
