"Player","Team","Points","Cost","Position"
"JOHNSONDAVID"," ARI",6.5,5300,"RB"
"SPROLESDARREN"," PHI",6.6,5500,"RB"
"SHORTSCECIL"," HOU",7.19,5400,"WR"
"MCCLUSTERDEXTER"," TEN",6.2,5200,"RB"
"DONNELLLARRY"," NYG",7.18,5200,"TE"
"JOHNSONCHARLES"," MIN",7.02,4700,"WR"
"MILLERHEATH"," PIT",6.91,5200,"TE"
"COLSTONMARQUES"," NO",6.65,5100,"WR"
"MICHAELCHRISTINE"," DAL",6.2,5600,"RB"
"ERTZZACH"," PHI",6.93,5000,"TE"
"CAMERONJORDAN"," MIA",6.45,5500,"TE"
"DIGGSSTEFON"," MIN",6.26,5800,"WR"
"POLKCHRIS"," HOU",6.11,4800,"RB"
"RIDLEYSTEVAN"," NYJ",6.09,4500,"RB"
"SIMSCHARLES"," TB",5.8,5700,"RB"
"DAVISKNILE"," KC",5.87,5300,"RB"
"JACKSONDESEAN"," WSH",6.23,5600,"WR"
"SEFERIANJENKINSAUSTIN"," TB",6.17,5200,"TE"
"HANKERSONLEONARD"," ATL",6.05,5700,"WR"
"COOKJARED"," STL",6.51,5200,"TE"
"SMITHTORREY"," SF",5.79,6000,"WR"
"EBRONERIC"," DET",6.43,5100,"TE"
"CUNNINGHAMBENNY"," STL",5.68,5400,"RB"
"JACKSONFRED"," SEA",5.52,6100,"RB"
"HAWKINSANDREW"," CLE",6,4800,"WR"
"WILLIAMSDEANGELO"," PIT",5.29,5300,"RB"
"WATSONBENJAMIN"," NO",6.06,5300,"TE"
"THOMPSONCHRIS"," WSH",5.87,5400,"RB"
"POWELLBILAL"," NYJ",5.3,5200,"RB"
"ELLINGTONANDRE"," ARI",5.22,5200,"RB"
"MURPHYLOUIS"," TB",5.33,5000,"WR"
"TAMMEJACOB"," ATL",5.63,5100,"TE"
"COLEMANTEVIN"," ATL",5.11,5300,"RB"
"THOMASDEANTHONY"," KC",5.37,4500,"RB"
"RUDOLPHKYLE"," MIN",5.61,5000,"TE"
"GREENBECKHAMDORIAL"," TEN",4.95,5100,"WR"
"ALLENDWAYNE"," IND",5,5000,"TE"
"GREENLADARIUS"," SD",5.19,5100,"TE"
"SPILLERCJ"," NO",4.63,5300,"RB"
"WILLIAMSANDRE"," NYG",4.45,5400,"RB"
"WILSONALBERT"," KC",5.14,4500,"WR"
"BRADSHAWAHMAD"," IND",4.49,5300,"RB"
"GILLMORECROCKETT"," BAL",4.87,5000,"TE"
"MASONTRE"," STL",4.41,5300,"RB"
"HELUROY"," OAK",4.43,5700,"RB"
"DOUGLASHARRY"," TEN",4.65,4700,"WR"
"WASHINGTONNATE"," HOU",4.46,4900,"WR"
"ROBINSONDENARD"," JAC",4.22,5300,"RB"
"MCKINNONJERICK"," MIN",3.88,5000,"RB"
"DORSETTPHILLIP"," IND",4.02,5200,"WR"
"HARTLINEBRIAN"," CLE",4.1,5000,"WR"
"CARRIERDEREK"," WSH",4.48,4900,"TE"
"BLUEALFRED"," HOU",3.81,5000,"RB"
"AGHOLORNELSON"," PHI",4.3,5000,"WR"
"STILLSKENNY"," MIA",3.97,5000,"WR"
"DAVISVERNON"," SF",4.24,4800,"TE"
"RANDLERUEBEN"," NYG",4.03,5700,"WR"
"FASANOANTHONY"," TEN",4.03,5000,"TE"
"COTCHERYJERRICHO"," CAR",3.99,4600,"WR"
"WHEATONMARKUS"," PIT",3.7,4800,"WR"
"AUSTINTAVON"," STL",4.02,5800,"WR"
"COOPERRILEY"," PHI",3.89,5300,"WR"
"WHITERODDY"," ATL",3.84,5500,"WR"
"FLOYDMICHAEL"," ARI",3.78,4900,"WR"
"QUICKBRIAN"," STL",3.85,4800,"WR"
"MATTHEWSCHRIS"," SEA",3.67,4500,"WR"
"CHANDLERSCOTT"," NE",3.67,4900,"TE"
"AUSTINMILES"," PHI",3.55,5200,"WR"
"COLEMANBRANDON"," NO",3.65,4800,"WR"
"MOORELANCE"," DET",3.61,5400,"WR"
"KENDRICKSLANCE"," STL",3.45,4600,"TE"
"BAILEYSTEDMAN"," STL",3.3,4900,"WR"
"LOCKETTTYLER"," SEA",3.41,5100,"WR"
"GRANTRYAN"," WSH",3.34,4600,"WR"
"WARDTERRON"," ATL",2.88,4500,"RB"
"OSHAUGHNESSYJAMES"," KC",3.12,4500,"TE"
"STRONGJAELEN"," HOU",3.21,5000,"WR"
"RIVERAMYCHAL"," OAK",3.6,4900,"TE"
"HOGANCHRIS"," BUF",3.2,5100,"WR"
"LOCKETTERICARDO"," SEA",2.97,4500,"WR"
"ALLENJAVORIUS"," BAL",3.08,5100,"RB"
"BEASLEYCOLE"," DAL",3.49,5200,"WR"
"WRIGHTJARIUS"," MIN",3.08,4900,"WR"
"INMANDONTRELLE"," SD",2.76,5100,"WR"
"BROWNPHILLY"," CAR",3.24,4700,"WR"
"GRAHAMGARRETT"," HOU",3.34,4600,"TE"
"AMENDOLADANNY"," NE",3.23,5400,"WR"
"GABRIELTAYLOR"," CLE",3.34,4900,"WR"
"REEDJORDAN"," WSH",3.25,5400,"TE"
"CELEKBRENT"," PHI",3.04,4700,"TE"
"MUMPHERYKEITH"," HOU",3.16,4800,"WR"
"MARTINKESHAWN"," NE",2.96,4500,"WR"
"HUFFJOSH"," PHI",3.02,5300,"WR"
"HOLMESANDRE"," OAK",2.89,5100,"WR"
"BUTLERBRICE"," DAL",2.93,4700,"WR"
"WILLSONLUKE"," SEA",2.91,4500,"TE"
"HARRISDWAYNE"," NYG",2.89,5000,"WR"
"TURBINROBERT"," CLE",2.94,4700,"RB"
"LEEMARQISE"," JAC",2.92,4600,"WR"
"SIMSDION"," MIA",2.76,4900,"TE"
"BROWNMARLON"," BAL",2.7,4500,"WR"
"CONLEYCHRIS"," KC",2.76,4800,"WR"
"GRAGGCHRIS"," BUF",2.67,4500,"TE"
"HILLJOSH"," NO",2.59,4700,"TE"
"JENNINGSGREG"," MIA",2.45,4500,"WR"
"WILLIAMSDAMIEN"," MIA",2.53,5400,"RB"
"TOILOLOLEVINE"," ATL",2.56,4500,"TE"
"AVANTJASON"," KC",2.57,4500,"WR"
"PARKERDEVANTE"," MIA",2.5,5000,"WR"
"WILLIAMSMAXX"," BAL",2.58,4600,"TE"
"OWUSUCHRIS"," NYJ",2.42,4700,"WR"
"OLIVERBRANDEN"," SD",2.11,4700,"RB"
"DICKSONED"," CAR",2.33,4500,"TE"
"GRAYJONAS"," MIA",2.05,5000,"RB"
"FUNCHESSDEVIN"," CAR",2.19,4600,"WR"
"ARTISPAYNECAMERON"," CAR",2.11,4900,"RB"
"NIKLASTROY"," ARI",2.25,4500,"TE"
"RAINEYBOBBY"," TB",1.92,4600,"RB"
"LEWISMARCEDES"," JAC",2.19,4600,"TE"
"STEVENSCRAIG"," TEN",2.27,4500,"TE"
"DSTPITTSBURGH"," PIT",9.64,4600,"D"
"DSTBUFFALO"," BUF",9.94,4700,"D"
"DSTARIZONA"," ARI",9.8,5100,"D"
"DSTMINNESOTA"," MIN",9.77,4600,"D"
"DSTSEATTLE"," SEA",8.92,5200,"D"
"DSTHOUSTON"," HOU",9.45,4800,"D"
"DSTCAROLINA"," CAR",8.48,4800,"D"
"DIEGOSAN"," SD",8.11,4400,"D"
"LOUISST"," STL",8.46,4500,"D"
"DSTWASHINGTON"," WSH",8.94,4400,"D"
"DSTDALLAS"," DAL",8.54,4400,"D"
"YORKNEW"," NYG",7.84,4500,"D"
"BAYTAMPA"," TB",7.52,4000,"D"
"DSTMIAMI"," MIA",8.06,4500,"D"
"DSTINDIANAPOLIS"," IND",7.37,4100,"D"
"DSTCLEVELAND"," CLE",7.34,4400,"D"
"DSTDETROIT"," DET",7.58,4400,"D"
"ORLEANSNEW"," NO",7.48,4000,"D"
"DSTATLANTA"," ATL",7.64,4700,"D"
"DSTPHILADELPHIA"," PHI",7.55,4400,"D"
"DSTTENNESSEE"," TEN",5.14,4100,"D"
"DSTOAKLAND"," OAK",6.68,4400,"D"
"DSTBALTIMORE"," BAL",6.64,4500,"D"
"DSTJACKSONVILLE"," JAC",6.53,4200,"D"
"FRANCISCOSAN"," SF",6.28,4000,"D"
"ENGLANDNEW"," NE",6.38,4700,"D"
"CITYKANSAS"," KC",6.5,4600,"D"
"YORKNEW"," NYJ",6.02,4400,"D"
"CATANZAROCHANDLER"," ARI",9.19,4900,"K"
"HAUSCHKASTEVEN"," SEA",9.1,5000,"K"
"COONSTRAVIS"," CLE",8.75,4500,"K"
"BAILEYDAN"," DAL",8.78,5000,"K"
"HOPKINSDUSTIN"," WSH",8.69,4800,"K"
"BRYANTMATT"," ATL",8.61,4900,"K"
"LAMBOJOSH"," SD",8.6,4700,"K"
"VINATIERIADAM"," IND",8.3,5000,"K"
"GOSTKOWSKISTEPHEN"," NE",8.24,5100,"K"
"WALSHBLAIR"," MIN",8.24,4700,"K"
"SANTOSCAIRO"," KC",8.09,4600,"K"
"JANIKOWSKISEBASTIAN"," OAK",8.06,4700,"K"
"SUCCOPRYAN"," TEN",7.96,4600,"K"
"BROWNJOSH"," NYG",7.82,4700,"K"
"TUCKERJUSTIN"," BAL",7.73,4800,"K"
"FOLKNICK"," NYJ",7.73,4700,"K"
"CARPENTERDAN"," BUF",7.44,4700,"K"
"BARTHCONNOR"," TB",7.45,4900,"K"
"ZUERLEINGREG"," STL",7.31,4600,"K"
"DAWSONPHIL"," SF",6.99,4700,"K"
"STURGISCALEB"," PHI",6.96,4900,"K"
"NOVAKNICK"," HOU",6.88,4600,"K"
"PRATERMATT"," DET",6.84,4500,"K"
"GANOGRAHAM"," CAR",6.72,4700,"K"
"FRANKSANDREW"," MIA",6.45,4500,"K"
"MYERSJASON"," JAC",6.13,4500,"K"
