"","Player","Points","Cost","Position"
"449","Tennessee Titans (TEN - DST)",12.9,4200,"D"
"450","Atlanta Falcons (ATL - DST)",12.5,4300,"D"
"451","New York Giants (NYG - DST)",12.2,4200,"D"
"452","Oakland Raiders (OAK - DST)",12,4300,"D"
"453","San Francisco 49ers (SF - DST)",11.8,4300,"D"
"454","Detroit Lions (DET - DST)",11.8,4400,"D"
"455","Kansas City Chiefs (KC - DST)",11.8,4300,"D"
"456","Dallas Cowboys (DAL - DST)",11.7,4300,"D"
"457","Tampa Bay Buccaneers (TB - DST)",11.7,4100,"D"
"458","San Diego Chargers (SD - DST)",11.4,4400,"D"
"459","New Orleans Saints (NO - DST)",11.3,4400,"D"
"460","Jacksonville Jaguars (JAC - DST)",11.1,4000,"D"
"461","Chicago Bears (CHI - DST)",10.9,4000,"D"
