"","Player","Points","Cost","Position"
"103","Doug Baldwin (SEA - WR)",9.3,6000,"WR"
"104","Torrey Smith (SF - WR) P",9.3,6400,"WR"
"105","Percy Harvin (BUF - WR) P",9.1,5600,"WR"
"106","Allen Hurns (JAC - WR)",8.7,5100,"WR"
"107","Eddie Royal (CHI - WR) Q",8.6,4700,"WR"
"108","Charles Johnson (MIN - WR)",8.3,5200,"WR"
"109","Eric Decker (NYJ - WR) Q",8.3,6000,"WR"
"110","Nelson Agholor (PHI - WR)",8,5300,"WR"
"111","Cole Beasley (DAL - WR)",7.8,5400,"WR"
"112","Marques Colston (NO - WR)",7.7,5300,"WR"
"113","Brandon Coleman (NO - WR)",7.4,5100,"WR"
"114","Leonard Hankerson (ATL - WR)",7.4,5700,"WR"
"115","Marvin Jones (CIN - WR)",7.2,5000,"WR"
"116","Rishard Matthews (MIA - WR)",7.1,5700,"WR"
"117","Cecil Shorts (HOU - WR)",6.9,5200,"WR"
"118","Tyler Lockett (SEA - WR)",6.9,5000,"WR"
"119","Travis Benjamin (CLE - WR)",6.9,5600,"WR"
"120","Rueben Randle (NYG - WR)",6.8,5400,"WR"
"121","Markus Wheaton (PIT - WR)",6.7,5200,"WR"
"122","Kenny Britt (STL - WR)",6.6,5400,"WR"
"123","Darrius Heyward-Bey (PIT - WR)",6.6,5300,"WR"
"124","Nate Washington (HOU - WR)",6.6,5300,"WR"
"125","Michael Floyd (ARI - WR)",6.5,5200,"WR"
"126","Danny Amendola (NE - WR)",6.4,4600,"WR"
"127","Ted Ginn (CAR - WR)",6.4,5200,"WR"
"128","Aaron Dobson (NE - WR)",6.2,5000,"WR"
"129","Tavon Austin (STL - WR)",6.1,5300,"WR"
"130","Marquess Wilson (CHI - WR) Q",6.1,4500,"WR"
"131","Kamar Aiken (BAL - WR)",6,5600,"WR"
"132","Andrew Hawkins (CLE - WR)",5.9,4500,"WR"
"133","Malcom Floyd (SD - WR)",5.7,5300,"WR"
"134","Ryan Grant (WAS - WR)",5.7,4600,"WR"
"135","Ty Montgomery (GB - WR)",5.6,4700,"WR"
"136","Devin Funchess (CAR - WR)",5.6,4700,"WR"
"137","Marqise Lee (JAC - WR) Q",5.3,4700,"WR"
"138","Harry Douglas (TEN - WR)",5.3,4800,"WR"
"139","Jermaine Kearse (SEA - WR)",5.2,5400,"WR"
"140","Philly Brown (CAR - WR)",5.2,4800,"WR"
"141","Chris Owusu (NYJ - WR) O",5.1,4700,"WR"
"142","Stedman Bailey (STL - WR)",5.1,4700,"WR"
"143","Dorial Green-Beckham (TEN - WR)",5,5000,"WR"
"144","Robert Woods (BUF - WR)",5,5300,"WR"
"145","Quincy Enunwa (NYJ - WR)",5,4500,"WR"
"146","Willie Snead (NO - WR)",4.9,4700,"WR"
"147","Jerricho Cotchery (CAR - WR) Q",4.8,4700,"WR"
"148","Devante Parker (MIA - WR)",4.8,4900,"WR"
"149","Dwayne Bowe (CLE - WR)",4.6,5200,"WR"
"150","Andre Roberts (WAS - WR)",4.6,4500,"WR"
"151","Mohamed Sanu (CIN - WR)",4.5,4800,"WR"
"152","Rashad Greene (JAC - WR) I",4.5,4700,"WR"
"153","Jaelen Strong (HOU - WR)",4.4,5100,"WR"
"154","Jordan Norwood (DEN - WR)",4.2,4500,"WR"
"155","Brian Quick (STL - WR)",4.2,5100,"WR"
"156","Greg Jennings (MIA - WR)",4.2,4600,"WR"
"157","Phillip Dorsett (IND - WR)",4.1,5200,"WR"
"158","Kenny Stills (MIA - WR)",4,5200,"WR"
"159","Preston Parker (NYG - WR)",3.9,4500,"WR"
"160","Jarius Wright (MIN - WR)",3.8,5100,"WR"
"161","Cody Latimer (DEN - WR)",3.7,4500,"WR"
"162","Josh Huff (PHI - WR)",3.7,4500,"WR"
"163","Jeremy Kerley (NYJ - WR)",3.7,4500,"WR"
"164","Marlon Brown (BAL - WR)",3.7,4500,"WR"
"165","Taylor Gabriel (CLE - WR)",3.4,4500,"WR"
"166","De'Anthony Thomas (KC - WR)",3.4,4500,"WR"
"167","Brian Hartline (CLE - WR)",3.3,4500,"WR"
"168","Devin Street (DAL - WR)",3.2,4700,"WR"
"169","Justin Hunter (TEN - WR)",3.1,4500,"WR"
"170","Devin Smith (NYJ - WR) P",3.1,4600,"WR"
"171","Andre Holmes (OAK - WR)",3.1,5200,"WR"
"172","Louis Murphy (TB - WR)",3.1,5100,"WR"
"173","Riley Cooper (PHI - WR)",3,4700,"WR"
"174","Josh Bellamy (CHI - WR)",3,4700,"WR"
"175","Jeff Janis (GB - WR)",3,4500,"WR"
"176","Albert Wilson (KC - WR)",3,4500,"WR"
"177","Lance Moore (DET - WR)",3,4500,"WR"
"178","Quinton Patton (SF - WR)",2.8,4500,"WR"
"179","Jaron Brown (ARI - WR)",2.8,4500,"WR"
"180","Chris Matthews (SEA - WR)",2.8,4500,"WR"
"181","Dwayne Harris (NYG - WR)",2.7,4500,"WR"
"182","Cordarrelle Patterson (MIN - WR)",2.7,4700,"WR"
"183","Andre Caldwell (DEN - WR)",2.5,4500,"WR"
"184","Chris Conley (KC - WR)",2.5,4500,"WR"
"185","Michael Campanaro (BAL - WR)",2.4,4500,"WR"
"186","Chris Givens (STL - WR)",1.9,4500,"WR"
"187","Geremy Davis (NYG - WR)",1.8,4500,"WR"
"188","Kevin Norwood (CAR - WR)",1.8,4500,"WR"
"189","Jamison Crowder (WAS - WR)",1.5,4500,"WR"
"190","Brice Butler (DAL - WR)",1.5,4700,"WR"
"191","Miles Austin (PHI - WR)",1.5,4800,"WR"
"192","Bruce Ellington (SF - WR) Q",1.4,4500,"WR"
"193","Devin Hester (ATL - WR) Q",1.2,4600,"WR"
"194","Rod Streater (OAK - WR)",1.2,4500,"WR"
"195","Dontrelle Inman (SD - WR)",1.2,4500,"WR"
"196","Chris Hogan (BUF - WR)",1.1,4500,"WR"
"197","Jason Avant (KC - WR)",1,4500,"WR"
"198","Ricardo Lockette (SEA - WR)",0.8,4500,"WR"
"199","Brittan Golden (ARI - WR)",0.6,4500,"WR"
"200","Eric Weems (ATL - WR)",0.5,4500,"WR"
"201","Lucky Whitehead (DAL - WR)",0.5,4600,"WR"
"202","Brandon Tate (CIN - WR)",0.5,4500,"WR"
"203","Keshawn Martin (NE - WR)",0.5,4500,"WR"
"204","Joseph Morgan (NO - WR)",0.4,4500,"WR"
"205","Adam Thielen (MIN - WR)",0.4,4500,"WR"
"206","Griff Whalen (IND - WR)",0.4,4500,"WR"
"207","Corey Fuller (DET - WR)",0.4,4500,"WR"
"208","Russell Shepard (TB - WR)",0.4,4500,"WR"
"209","Le'Veon Bell (PIT - RB)",18.6,8800,"RB"
"210","Adrian Peterson (MIN - RB)",18.5,8900,"RB"
"211","Jamaal Charles (KC - RB)",17.5,8700,"RB"
"212","Marshawn Lynch (SEA - RB) Q",17.3,8700,"RB"
"213","Matt Forte (CHI - RB) Q",15.2,8400,"RB"
"214","Justin Forsett (BAL - RB)",14.6,7200,"RB"
"215","Latavius Murray (OAK - RB)",13.7,7000,"RB"
"216","LeSean McCoy (BUF - RB) Q",13.3,7500,"RB"
"217","Mark Ingram (NO - RB)",13.3,7900,"RB"
"218","C.J. Anderson (DEN - RB) P",13.2,7300,"RB"
"219","Jeremy Hill (CIN - RB)",13,7600,"RB"
"220","Danny Woodhead (SD - RB)",12.9,6400,"RB"
"221","Jonathan Stewart (CAR - RB) Q",12.8,6500,"RB"
"222","Christopher Ivory (NYJ - RB) Q",12.8,7100,"RB"
"223","Dion Lewis (NE - RB)",12.7,6700,"RB"
"224","Carlos Hyde (SF - RB) P",12.2,7800,"RB"
"225","Frank Gore (IND - RB)",12.2,7000,"RB"
"226","Lamar Miller (MIA - RB) Q",12.1,6600,"RB"
"227","Devonta Freeman (ATL - RB)",12.1,6500,"RB"
"228","DeMarco Murray (PHI - RB) Q",11.7,7800,"RB"
"229","Eddie Lacy (GB - RB) Q",11.6,7700,"RB"
"230","T.J. Yeldon (JAC - RB)",11.1,6600,"RB"
"231","Giovani Bernard (CIN - RB)",11,7200,"RB"
"232","Melvin Gordon (SD - RB)",10.9,6700,"RB"
"233","Ameer Abdullah (DET - RB)",10.9,6000,"RB"
"234","Joseph Randle (DAL - RB)",10.1,6500,"RB"
"235","Matt Jones (WAS - RB)",10,6400,"RB"
"236","Alfred Morris (WAS - RB)",9.9,6600,"RB"
"237","Shane Vereen (NYG - RB)",9.9,6100,"RB"
"238","Isaiah Crowell (CLE - RB)",9.7,6600,"RB"
"239","Doug Martin (TB - RB)",9.6,6600,"RB"
"240","David Johnson (ARI - RB)",9.1,6000,"RB"
"241","Darren Sproles (PHI - RB)",9,5400,"RB"
"242","C.J. Spiller (NO - RB)",8.9,6000,"RB"
"243","Bishop Sankey (TEN - RB)",8.9,6300,"RB"
"244","LeGarrette Blount (NE - RB)",8.8,5900,"RB"
"245","James Starks (GB - RB)",8.7,6500,"RB"
"246","Rashad Jennings (NYG - RB)",8.7,6200,"RB"
"247","Tre Mason (STL - RB)",8.5,6500,"RB"
"248","Chris Johnson (ARI - RB)",8.4,6200,"RB"
"249","Ronnie Hillman (DEN - RB)",7.5,6200,"RB"
"250","Lance Dunbar (DAL - RB)",7.4,4900,"RB"
"251","Duke Johnson (CLE - RB)",7.2,5600,"RB"
"252","Arian Foster (HOU - RB) Q",7,8200,"RB"
"253","Benny Cunningham (STL - RB)",7,5400,"RB"
"254","Todd Gurley (STL - RB)",6.9,6300,"RB"
"255","Ryan Mathews (PHI - RB)",6.8,5500,"RB"
"256","Bilal Powell (NYJ - RB)",6.6,5200,"RB"
"257","Dexter McCluster (TEN - RB)",6.1,5400,"RB"
"258","Karlos Williams (BUF - RB)",6.1,5300,"RB"
"259","Joique Bell (DET - RB)",5.9,5800,"RB"
"260","Darren McFadden (DAL - RB)",5.8,6300,"RB"
"261","Chris Polk (HOU - RB)",5.7,5300,"RB"
"262","DeAngelo Williams (PIT - RB)",5.6,6000,"RB"
"263","Theo Riddick (DET - RB)",5.5,4700,"RB"
"264","Fred Jackson (SEA - RB)",5.4,6000,"RB"
"265","Charles Sims (TB - RB)",5.2,5600,"RB"
"266","Lorenzo Taliaferro (BAL - RB) Q",5.1,5600,"RB"
"267","Damien Williams (MIA - RB)",5.1,5700,"RB"
"268","Josh Robinson (IND - RB)",5,4900,"RB"
"269","Alfred Blue (HOU - RB)",4.7,5300,"RB"
"270","Tevin Coleman (ATL - RB) D",4.7,6200,"RB"
"271","Terron Ward (ATL - RB)",4.6,4500,"RB"
"272","Kyle Juszczyk (BAL - RB)",4.5,4500,"RB"
"273","Jonathan Grimes (HOU - RB) Q",4.4,4500,"RB"
"274","Andre Ellington (ARI - RB) D",4.4,7000,"RB"
"275","Reggie Bush (SF - RB) Q",3.9,5300,"RB"
"276","Khiry Robinson (NO - RB)",3.5,4900,"RB"
"277","Andre Williams (NYG - RB)",3.4,5400,"RB"
"278","Terrance West (TEN - RB)",3.4,5300,"RB"
"279","Marcel Reece (OAK - RB)",3.3,4800,"RB"
"280","Denard Robinson (JAC - RB) D",3.1,5400,"RB"
"281","Knile Davis (KC - RB)",3,5400,"RB"
"282","Jerick McKinnon (MIN - RB)",3,5500,"RB"
"283","Javorius Allen (BAL - RB)",2.9,5300,"RB"
"284","Mike Davis (SF - RB)",2.8,4500,"RB"
"285","Mike Tolbert (CAR - RB)",2.4,4800,"RB"
"286","Branden Oliver (SD - RB)",2.4,4700,"RB"
"287","Jarryd Hayne (SF - RB)",2.3,4500,"RB"
"288","Anthony Dixon (BUF - RB)",2.2,4500,"RB"
"289","James White (NE - RB)",2.2,5000,"RB"
"290","Jeremy Langford (CHI - RB)",2.1,4700,"RB"
"291","Roy Helu (OAK - RB)",2.1,5400,"RB"
"292","Dri Archer (PIT - RB)",1.9,5100,"RB"
"293","Jay Ajayi (MIA - RB) I",1.8,5200,"RB"
"294","Bernard Pierce (JAC - RB)",1.8,4500,"RB"
"295","Jonas Gray (MIA - RB)",1.7,4800,"RB"
"296","Cameron Artis-Payne (CAR - RB)",1.6,5300,"RB"
"297","Jacquizz Rodgers (CHI - RB)",1.6,4500,"RB"
"298","Patrick DiMarco (ATL - RB)",1.4,4500,"RB"
"299","Travaris Cadet (NE - RB)",1.4,4500,"RB"
"300","Fozzy Whittaker (CAR - RB) Q",1.4,4900,"RB"
"301","Brandon Bolden (NE - RB)",1.3,4900,"RB"
"302","Matt Asiata (MIN - RB)",1.3,4900,"RB"
"303","Rex Burkhead (CIN - RB)",1.3,4500,"RB"
"304","Christine Michael (DAL - RB)",1.3,4500,"RB"
"305","Toby Gerhart (JAC - RB) Q",1.2,4800,"RB"
"306","Bryce Brown (BUF - RB)",1.2,5000,"RB"
"307","Bruce Miller (SF - RB)",1.1,4500,"RB"
