"Player","Team","Points","Cost","Position"
"JOHNSONCHRIS"," ARI",10.66,7000,"RB"
"YELDONT.J."," JAC",10.36,6600,"RB"
"MURRAYLATAVIUS"," OAK",10.48,7000,"RB"
"GOREFRANK"," IND",10.31,6900,"RB"
"FITZGERALDLARRY"," ARI",11.51,7400,"WR"
"JONESMATT"," WSH",10.43,6000,"RB"
"HILTONT.Y."," IND",11.3,7500,"WR"
"GORDONMELVIN"," SD",10.42,6500,"RB"
"MATTHEWSJORDAN"," PHI",11.08,6800,"WR"
"SANKEYBISHOP"," TEN",9.59,5400,"RB"
"SPROLESDARREN"," PHI",9.93,5700,"RB"
"COOPERAMARI"," OAK",11.22,7300,"WR"
"WITTENJASON"," DAL",10.86,5700,"TE"
"BERNARDGIOVANI"," CIN",9.66,6600,"RB"
"CROWELLISAIAH"," CLE",9.11,6100,"RB"
"WILLIAMSANDRE"," NYG",8.91,5400,"RB"
"ABDULLAHAMEER"," DET",9.41,6100,"RB"
"MORRISALFRED"," WSH",8.86,6300,"RB"
"KELCETRAVIS"," KC",10.49,6500,"TE"
"JENNINGSRASHAD"," NYG",9.06,6200,"RB"
"JONESJAMES"," GB",10.48,6400,"WR"
"EVANSMIKE"," TB",9.83,7500,"WR"
"TATEGOLDEN"," DET",10.2,6600,"WR"
"BENNETTMARTELLUS"," CHI",10.38,5900,"TE"
"WILLIAMSTERRANCE"," DAL",9.34,5900,"WR"
"GARCONPIERRE"," WSH",10.04,6200,"WR"
"ROBINSONALLEN"," JAC",9.75,6300,"WR"
"GRAHAMJIMMY"," SEA",9.74,6600,"TE"
"HURNSALLEN"," JAC",9.46,6100,"WR"
"AIKENKAMAR"," BAL",9.79,5800,"WR"
"WATKINSSAMMY"," BUF",9.44,6400,"WR"
"BRITTKENNY"," STL",8.98,5200,"WR"
"BENJAMINTRAVIS"," CLE",8.89,6200,"WR"
"COOKSBRANDIN"," NO",9.39,6800,"WR"
"HANKERSONLEONARD"," ATL",8.49,6000,"WR"
"BOLDINANQUAN"," SF",9.19,6200,"WR"
"BROWNJOHN"," ARI",8.68,5900,"WR"
"ANDERSONC.J."," DEN",7.97,6600,"RB"
"JACKSONVINCENT"," TB",8.58,6800,"WR"
"FLOYDMALCOM"," SD",7.77,5400,"WR"
"EIFERTTYLER"," CIN",9.05,5600,"TE"
"JOHNSONSTEVE"," SD",8.31,5700,"WR"
"CLAYCHARLES"," BUF",8.76,5700,"TE"
"MATHEWSRYAN"," PHI",7.34,5400,"RB"
"WRIGHTKENDALL"," TEN",8.35,5900,"WR"
"MONCRIEFDONTE"," IND",7.93,6500,"WR"
"BELLJOIQUE"," DET",7.45,5500,"RB"
"CRABTREEMICHAEL"," OAK",8.47,5900,"WR"
"HARVINPERCY"," BUF",8.44,5400,"WR"
"MUMPHERYKEITH"," HOU",8.1,5000,"WR"
"ROYALEDDIE"," CHI",8.11,5500,"WR"
"SPILLERC.J."," NO",7.83,5500,"RB"
"MCFADDENDARREN"," DAL",7.22,6000,"RB"
"BRYANTMARTAVIS"," PIT",7.4,6100,"WR"
"THOMASJULIUS"," JAC",7.54,5200,"TE"
"GATESANTONIO"," SD",7.76,5500,"TE"
"COLEMANTEVIN"," ATL",7.11,5700,"RB"
"HILLMANRONNIE"," DEN",6.64,6600,"RB"
"BLUEALFRED"," HOU",6.81,5400,"RB"
"MILLERHEATH"," PIT",7.78,5500,"TE"
"VEREENSHANE"," NYG",7.02,5600,"RB"
"COLSTONMARQUES"," NO",7.19,5300,"WR"
"BALDWINDOUG"," SEA",7.51,5700,"WR"
"WILLIAMSDEANGELO"," PIT",6.43,5300,"RB"
"DAVISKNILE"," KC",6.16,5400,"RB"
"MCCOYLESEAN"," BUF",5.91,7300,"RB"
"DOBSONAARON"," NE",6.77,5000,"WR"
"STARKSJAMES"," GB",6.22,5600,"RB"
"DIXONANTHONY"," BUF",5.87,4500,"RB"
"ELLINGTONANDRE"," ARI",6.12,5900,"RB"
"DANIELSOWEN"," DEN",7.15,4900,"TE"
"BROWNMARLON"," BAL",7.02,4500,"WR"
"SMITHTORREY"," SF",6.3,6300,"WR"
"AGHOLORNELSON"," PHI",6.45,5200,"WR"
"JONESMARVIN"," CIN",6.49,5300,"WR"
"KEARSEJERMAINE"," SEA",6.52,5600,"WR"
"JACKSONDESEAN"," WSH",6.26,6000,"WR"
"ERTZZACH"," PHI",6.37,5000,"TE"
"SANUMOHAMED"," CIN",6.19,4900,"WR"
"TAMMEJACOB"," ATL",6.2,4700,"TE"
"FLEENERCOBY"," IND",6.33,5200,"TE"
"WALKERDELANIE"," TEN",6.47,5400,"TE"
"MURPHYLOUIS"," TB",5.69,5000,"WR"
"DONNELLLARRY"," NYG",6.29,5200,"TE"
"WILSONALBERT"," KC",5.8,4500,"WR"
"WHITERODDY"," ATL",5.83,5200,"WR"
"BEASLEYCOLE"," DAL",6.09,5200,"WR"
"BARNIDGEGARY"," CLE",5.82,5400,"TE"
"RAWLSTHOMAS"," SEA",5.04,6000,"RB"
"LANGFORDJEREMY"," CHI",5.35,4700,"RB"
"WILLIAMSKARLOS"," BUF",5.01,6900,"RB"
"SIMSCHARLES"," TB",5.03,5700,"RB"
"WORTHYCHANDLER"," HOU",5.77,4900,"WR"
"JOHNSONDUKE"," CLE",5.18,5900,"RB"
"COOKJARED"," STL",5.86,5200,"TE"
"QUICKBRIAN"," STL",5.25,4800,"WR"
"INMANDONTRELLE"," SD",4.94,5100,"WR"
"ALLENJAVORIUS"," BAL",4.94,5000,"RB"
"ALLENDWAYNE"," IND",5.37,4900,"TE"
"HARTLINEBRIAN"," CLE",4.95,5000,"WR"
"RODGERSRICHARD"," GB",5.39,5100,"TE"
"COOPERRILEY"," PHI",4.67,5400,"WR"
"CUNNINGHAMBENNY"," STL",4.76,5400,"RB"
"CONLEYCHRIS"," KC",4.54,4800,"WR"
"GILLMORECROCKETT"," BAL",4.78,5100,"TE"
"GRAHAMGARRETT"," HOU",4.89,4600,"TE"
"SNEADWILLIE"," NO",4.59,5300,"WR"
"WILSONMARQUESS"," CHI",4.61,4800,"WR"
"WOODSROBERT"," BUF",4.78,5200,"WR"
"TATEBRANDON"," CIN",4.51,4800,"WR"
"TALIAFERROLORENZO"," BAL",4.02,5100,"RB"
"BAILEYSTEDMAN"," STL",4.18,4900,"WR"
"HUNTERJUSTIN"," TEN",4.49,4500,"WR"
"MICHAELCHRISTINE"," DAL",4.07,4500,"RB"
"WHEATONMARKUS"," PIT",4.26,4800,"WR"
"JOHNSONDAVID"," ARI",4.05,5600,"RB"
"RIVERAMYCHAL"," OAK",4.71,4900,"TE"
"ROBINSONJOSH"," IND",4.09,4900,"RB"
"HOLMESANDRE"," OAK",4.14,5100,"WR"
"MONTGOMERYTY"," GB",4.21,4700,"WR"
"FELLSDARREN"," ARI",4.13,4600,"TE"
"DOUGLASHARRY"," TEN",4.08,4800,"WR"
"GRANTRYAN"," WSH",4.1,4600,"WR"
"GERHARTTOBY"," JAC",3.84,4900,"RB"
"NORWOODJORDAN"," DEN",4.11,4500,"WR"
"GREENLADARIUS"," SD",4.04,5100,"TE"
"CROWDERJAMISON"," WSH",4.06,5200,"WR"
"MASONTRE"," STL",3.52,5300,"RB"
"MCCLUSTERDEXTER"," TEN",3.98,5300,"RB"
"GREENVIRGIL"," DEN",3.63,4600,"TE"
"CARRIERDEREK"," WSH",4.17,4500,"TE"
"HELUROY"," OAK",3.74,5700,"RB"
"BUSHREGGIE"," SF",3.52,5300,"RB"
"FLOYDMICHAEL"," ARI",3.7,5000,"WR"
"AMENDOLADANNY"," NE",3.8,4600,"WR"
"FOWLERBENNIE"," DEN",3.62,4500,"WR"
"AUSTINTAVON"," STL",3.82,5800,"WR"
"DORSETTPHILLIP"," IND",3.51,5400,"WR"
"GABRIELTAYLOR"," CLE",3.66,4600,"WR"
"HAWKINSANDREW"," CLE",3.65,4800,"WR"
"REEDJORDAN"," WSH",3.71,5700,"TE"
"MANZIELJOHNNY"," CLE",2.86,6400,"QB"
"AVANTJASON"," KC",3.43,4500,"WR"
"JOHNSONANDRE"," IND",3.45,5400,"WR"
"WILLIAMSNICK"," ATL",3.43,0,"WR"
"BOWEDWAYNE"," CLE",3.4,4900,"WR"
"DAVISVERNON"," SF",3.51,4900,"TE"
"CELEKBRENT"," PHI",3.19,4700,"TE"
"CHANDLERSCOTT"," NE",3.18,4900,"TE"
"MATTHEWSCHRIS"," SEA",3.16,4500,"WR"
"LEEMARQISE"," JAC",3.22,4600,"WR"
"CASSELMATT"," DAL",2.65,6000,"QB"
"WILLSONLUKE"," SEA",3.1,4500,"TE"
"RANDLERUEBEN"," NYG",3.18,5900,"WR"
"FASANOANTHONY"," TEN",3.17,5000,"TE"
"HUFFJOSH"," PHI",3.2,4500,"WR"
"COATESSAMMIE"," PIT",2.97,4500,"WR"
"LOCKETTERICARDO"," SEA",2.93,4500,"WR"
"SPAETHMATT"," PIT",2.82,4500,"TE"
"O'SHAUGHNESSYJAMES"," KC",2.72,4500,"TE"
"ADAMSDAVANTE"," GB",2.91,5900,"WR"
"MOORELANCE"," DET",2.84,4500,"WR"
"LEWISMARCEDES"," JAC",2.77,4700,"TE"
"STEVENSCRAIG"," TEN",2.66,4500,"TE"
"WARDTERRON"," ATL",2.55,4500,"RB"
"CAREYKA'DEEM"," CHI",2.56,4800,"RB"
"DANIELSB.J."," SEA",2.84,0,"WR"
"AUSTINMILES"," PHI",2.83,5300,"WR"
"LOCKETTTYLER"," SEA",2.65,5100,"WR"
"STRONGJAELEN"," HOU",2.66,4800,"WR"
"MOEAKITONY"," ATL",2.59,0,"TE"
"KENDRICKSLANCE"," STL",2.64,4600,"TE"
"GREEN-BECKHAMDORIAL"," TEN",2.65,5000,"WR"
"POLKCHRIS"," HOU",2.29,5100,"RB"
"WATSONBENJAMIN"," NO",2.73,4600,"TE"
"HILLJOSH"," NO",2.46,4800,"TE"
"COLEMANBRANDON"," NO",2.52,5000,"WR"
"WILLIAMSMAXX"," BAL",2.48,4800,"TE"
"GRESHAMJERMAINE"," ARI",2.46,4800,"TE"
"RIDDICKTHEO"," DET",2.54,5000,"RB"
"ANDREWSANTONIO"," TEN",2.06,5600,"RB"
"NIKLASTROY"," ARI",2.22,4500,"TE"
"RAINEYBOBBY"," TB",1.98,4600,"RB"
"ESCOBARGAVIN"," DAL",2.13,4500,"TE"
"FELTONJEROME"," BUF",1.86,0,"RB"
"THOMASDE'ANTHONY"," KC",1.97,4500,"RB"
"GRAGGCHRIS"," BUF",2.13,4500,"TE"
"KUHNJOHN"," GB",1.96,4500,"RB"
"TOILOLOLEVINE"," ATL",2.21,4500,"TE"
"DAVISMIKE"," SF",1.77,4500,"RB"
"D/STDENVER"," DEN",10.36,4900,"D"
"D/STINDIANAPOLIS"," IND",9.36,4600,"D"
"D/STARIZONA"," ARI",10.02,5200,"D"
"YORKNEW"," NYG",9.02,4300,"D"
"D/STJACKSONVILLE"," JAC",8.99,4300,"D"
"D/STHOUSTON"," HOU",9.08,4800,"D"
"BAYGREEN"," GB",8.96,4800,"D"
"CITYKANSAS"," KC",8.78,4600,"D"
"D/STBUFFALO"," BUF",8.8,4800,"D"
"BAYTAMPA"," TB",8.68,4000,"D"
"D/STPITTSBURGH"," PIT",8.46,4400,"D"
"FRANCISCOSAN"," SF",7.76,4100,"D"
"D/STBALTIMORE"," BAL",7.95,4500,"D"
"D/STDETROIT"," DET",7.62,4200,"D"
"D/STCHICAGO"," CHI",7.38,4200,"D"
"D/STCINCINNATI"," CIN",7.76,4700,"D"
"D/STATLANTA"," ATL",7.17,4500,"D"
"D/STPHILADELPHIA"," PHI",7.03,4400,"D"
"D/STCLEVELAND"," CLE",7.26,4600,"D"
"D/STSEATTLE"," SEA",7.09,5100,"D"
"D/STOAKLAND"," OAK",6.9,4400,"D"
"ORLEANSNEW"," NO",6.78,4200,"D"
"ENGLANDNEW"," NE",6.42,4700,"D"
"D/STDALLAS"," DAL",4.77,4200,"D"
"D/STTENNESSEE"," TEN",6.04,4100,"D"
"DIEGOSAN"," SD",4.26,4500,"D"
"LOUISST."," STL",6.03,4300,"D"
"D/STWASHINGTON"," WSH",4.3,4200,"D"
"YORKNEW"," NYJ",10,0,"D"
"D/STMINNESOTA"," MIN",10,0,"D"
"D/STMIAMI"," MIA",10,0,"D"
"D/STCAROLINA"," CAR",10,0,"D"
"LAMBOJOSH"," SD",8.47,4500,"K"
"SANTOSCAIRO"," KC",8.38,4600,"K"
"CATANZAROCHANDLER"," ARI",8.33,4900,"K"
"BROWNJOSH"," NYG",8.27,4700,"K"
"HOPKINSDUSTIN"," WSH",8.24,4800,"K"
"BRYANTMATT"," ATL",8.1,4800,"K"
"TUCKERJUSTIN"," BAL",8.04,4900,"K"
"ZUERLEINGREG"," STL",8.03,4600,"K"
"MCMANUSBRANDON"," DEN",8.02,5000,"K"
"GOSTKOWSKISTEPHEN"," NE",8.01,5000,"K"
"CARPENTERDAN"," BUF",7.91,4700,"K"
"BARTHCONNOR"," TB",7.78,0,"K"
"BOSWELLCHRIS"," PIT",7.74,4600,"K"
"MYERSJASON"," JAC",7.7,4500,"K"
"COONSTRAVIS"," CLE",7.71,4500,"K"
"HAUSCHKASTEVEN"," SEA",7.68,5100,"K"
"SUCCOPRYAN"," TEN",7.52,4600,"K"
"CROSBYMASON"," GB",7.52,5000,"K"
"BAILEYDAN"," DAL",7.4,5000,"K"
"HOCKERZACH"," NO",7.32,4500,"K"
"STURGISCALEB"," PHI",7.04,5100,"K"
"NOVAKNICK"," HOU",7.07,4600,"K"
"NUGENTMIKE"," CIN",6.99,4600,"K"
"VINATIERIADAM"," IND",6.94,5000,"K"
"JANIKOWSKISEBASTIAN"," OAK",6.92,4700,"K"
"DAWSONPHIL"," SF",6.75,4700,"K"
"GOULDROBBIE"," CHI",6.48,4700,"K"
"PRATERMATT"," DET",5.16,4500,"K"
