"Player","Team","Points","Cost","Position"
"RYANMATT"," ATL",23.06,8300,"QB"
"BRADYTOM"," NE",22.84,8800,"QB"
"RODGERSAARON"," GB",22.28,9200,"QB"
"MANNINGPEYTON"," DEN",20.91,8200,"QB"
"RIVERSPHILIP"," SD",20.38,7500,"QB"
"PALMERCARSON"," ARI",20,8100,"QB"
"BREESDREW"," NO",19.19,8100,"QB"
"CHARLESJAMAAL"," KC",19.47,9100,"RB"
"WILSONRUSSELL"," SEA",18.07,8200,"QB"
"BELLLE'VEON"," PIT",20.09,9000,"RB"
"BRADFORDSAM"," PHI",17.86,7500,"QB"
"TAYLORTYROD"," BUF",17.71,7500,"QB"
"SMITHALEX"," KC",17.42,6900,"QB"
"COUSINSKIRK"," WSH",17.22,6400,"QB"
"MANNINGELI"," NYG",17.07,7700,"QB"
"THOMASDEMARYIUS"," DEN",19.77,8600,"WR"
"JONESJULIO"," ATL",19.06,9200,"WR"
"VICKMICHAEL"," PIT",16.73,6500,"QB"
"KAEPERNICKCOLIN"," SF",16.12,7100,"QB"
"FLACCOJOE"," BAL",16.24,7700,"QB"
"CUTLERJAY"," CHI",16.38,7400,"QB"
"DALTONANDY"," CIN",15.93,7300,"QB"
"MARIOTAMARCUS"," TEN",15.5,7400,"QB"
"FORTEMATT"," CHI",16.79,8400,"RB"
"WEEDENBRANDON"," DAL",14.5,6400,"QB"
"WINSTONJAMEIS"," TB",14.66,6400,"QB"
"CARRDEREK"," OAK",14.72,6700,"QB"
"BORTLESBLAKE"," JAC",14.42,6900,"QB"
"STAFFORDMATTHEW"," DET",14.65,7000,"QB"
"LYNCHMARSHAWN"," SEA",14.41,8600,"RB"
"FOSTERARIAN"," HOU",14.11,8200,"RB"
"HOPKINSDEANDRE"," HOU",15.7,8000,"WR"
"COBBRANDALL"," GB",15.6,8200,"WR"
"HASSELBECKMATT"," IND",13.6,5700,"QB"
"MACLINJEREMY"," KC",15.29,6900,"WR"
"BECKHAMODELL"," NYG",14.79,9000,"WR"
"SANDERSEMMANUEL"," DEN",14.71,7700,"WR"
"FORSETTJUSTIN"," BAL",12.84,7200,"RB"
"MALLETTRYAN"," HOU",12.53,6500,"QB"
"BROWNANTONIO"," PIT",14.49,8600,"WR"
"ALLENKEENAN"," SD",14.85,7700,"WR"
"FREEMANDEVONTA"," ATL",13.72,7600,"RB"
"MCCOWNJOSH"," CLE",12.62,6700,"QB"
"GREENA.J."," CIN",14.45,8200,"WR"
"EDELMANJULIAN"," NE",14.69,7700,"WR"
"GRONKOWSKIROB"," NE",14.17,8400,"TE"
"LACYEDDIE"," GB",12.8,7600,"RB"
"FOLESNICK"," STL",12.41,6400,"QB"
"JOHNSONCALVIN"," DET",14.13,8100,"WR"
"GURLEYTODD"," STL",11.96,6700,"RB"
"RANDLEJOSEPH"," DAL",11.33,7400,"RB"
"JEFFERYALSHON"," CHI",13.22,7600,"WR"
"MARTINDOUG"," TB",11.33,6400,"RB"
"HYDECARLOS"," SF",11.07,7000,"RB"
"LEWISDION"," NE",12.01,6900,"RB"
"WOODHEADDANNY"," SD",11.2,6000,"RB"
"BLOUNTLEGARRETTE"," NE",11.01,6200,"RB"
"HILLJEREMY"," CIN",11.03,6800,"RB"
"MURRAYDEMARCO"," PHI",10.82,7400,"RB"
"INGRAMMARK"," NO",11.06,8000,"RB"
